"name","slug","primary_muscle","secondary_muscles","equipment","movement_pattern","exercise_type"
"Жим лежа","bench_press","грудь","трицепс, передние_дельты, кор","штанга","горизонтальный_жим","базовое"
"Жим гантелей лежа","dumbbell_bench_press","грудь","трицепс, передние_дельты, кор","гантели","горизонтальный_жим","базовое"
"Жим штанги на наклонной скамье","incline_barbell_press","грудь","передние_дельты, трицепс, кор","штанга","горизонтальный_жим","базовое"
"Жим гантелей на наклонной скамье","incline_dumbbell_press","грудь","передние_дельты, трицепс, кор","гантели","горизонтальный_жим","базовое"
"Сведения в тренажере бабочка","pec_deck_fly","грудь","передние_дельты","тренажер","сведение","изоляция"
"Кроссовер","cable_crossover","грудь","передние_дельты, кор","блок","сведение","изоляция"
"Отжимания от пола","push_up","грудь","трицепс, передние_дельты, кор","собственный_вес","горизонтальный_жим","базовое"
"Подтягивания широким хватом","wide_grip_pull_up","широчайшие","бицепс, задние_дельты, трапеции, кор","собственный_вес","вертикальная_тяга","базовое"
"Подтягивания обратным хватом","chin_up","широчайшие","бицепс, задние_дельты, кор","собственный_вес","вертикальная_тяга","базовое"
"Тяга верхнего блока к груди","lat_pulldown","широчайшие","бицепс, задние_дельты, трапеции, кор","блок","вертикальная_тяга","базовое"
"Тяга горизонтального блока","seated_cable_row","спина","широчайшие, бицепс, задние_дельты, трапеции, кор","блок","горизонтальная_тяга","базовое"
"Тяга штанги в наклоне","barbell_row","спина","широчайшие, задние_дельты, бицепс, трапеции, поясница, кор","штанга","горизонтальная_тяга","базовое"
"Тяга гантели одной рукой","one_arm_dumbbell_row","широчайшие","спина, бицепс, задние_дельты, трапеции, кор","гантели","горизонтальная_тяга","базовое"
"Тяга Т-грифа","t_bar_row","спина","широчайшие, бицепс, задние_дельты, трапеции, поясница, кор","тренажер","горизонтальная_тяга","базовое"
"Шраги с гантелями","dumbbell_shrug","трапеции","предплечья, кор","гантели","другое","изоляция"
"Тяга каната к лицу","face_pull","задние_дельты","трапеции, спина, кор","блок","горизонтальная_тяга","изоляция"
"Жим штанги стоя","overhead_press","передние_дельты","трицепс, средние_дельты, кор","штанга","вертикальный_жим","базовое"
"Жим гантелей сидя","seated_dumbbell_press","передние_дельты","средние_дельты, трицепс, кор","гантели","вертикальный_жим","базовое"
"Жим в тренажере на плечи","machine_shoulder_press","передние_дельты","средние_дельты, трицепс, кор","тренажер","вертикальный_жим","базовое"
"Махи гантелями в стороны","dumbbell_lateral_raise","средние_дельты","трапеции, кор","гантели","подъем","изоляция"
"Махи в стороны в тренажере","machine_lateral_raise","средние_дельты","трапеции","тренажер","подъем","изоляция"
"Разведения гантелей в наклоне","rear_delt_fly","задние_дельты","трапеции, спина, кор","гантели","подъем","изоляция"
"Подъем штанги на бицепс","barbell_curl","бицепс","предплечья, кор","штанга","сгибание","изоляция"
"Подъем EZ-штанги на бицепс","ez_bar_curl","бицепс","предплечья, кор","ez_штанга","сгибание","изоляция"
"Подъем гантелей на бицепс","dumbbell_curl","бицепс","предплечья, кор","гантели","сгибание","изоляция"
"Молотки","hammer_curl","бицепс","предплечья, кор","гантели","сгибание","изоляция"
"Сгибание рук на скамье Скотта","preacher_curl","бицепс","предплечья","ez_штанга","сгибание","изоляция"
"Сгибание рук в кроссовере","cable_curl","бицепс","предплечья, кор","блок","сгибание","изоляция"
"Жим узким хватом","close_grip_bench_press","трицепс","грудь, передние_дельты, кор","штанга","горизонтальный_жим","базовое"
"Французский жим лежа","lying_triceps_extension","трицепс","передние_дельты, кор","ez_штанга","разгибание","изоляция"
"Разгибание рук на блоке","triceps_pushdown","трицепс","передние_дельты, кор","блок","разгибание","изоляция"
"Разгибание руки из-за головы в кроссовере","overhead_cable_triceps_extension","трицепс","кор","блок","разгибание","изоляция"
"Отжимания на брусьях","dips","трицепс","грудь, передние_дельты, кор","собственный_вес","вертикальный_жим","базовое"
"Приседания со штангой","barbell_squat","квадрицепсы","ягодицы, бицепс_бедра, поясница, кор","штанга","приседание","базовое"
"Приседания в Смите","smith_squat","квадрицепсы","ягодицы, бицепс_бедра, кор","смита","приседание","базовое"
"Жим ногами","leg_press","квадрицепсы","ягодицы, бицепс_бедра","тренажер","приседание","базовое"
"Выпады с гантелями","dumbbell_lunge","квадрицепсы","ягодицы, бицепс_бедра, кор","гантели","выпад","базовое"
"Болгарские сплит-приседания","bulgarian_split_squat","квадрицепсы","ягодицы, бицепс_бедра, кор","гантели","выпад","базовое"
"Разгибание ног в тренажере","leg_extension","квадрицепсы","","тренажер","разгибание","изоляция"
"Сгибание ног лежа","lying_leg_curl","бицепс_бедра","икры","тренажер","сгибание","изоляция"
"Румынская тяга","romanian_deadlift","бицепс_бедра","ягодицы, поясница, кор, предплечья","штанга","наклон","базовое"
"Становая тяга","deadlift","спина","ягодицы, бицепс_бедра, трапеции, поясница, предплечья, кор","штанга","наклон","базовое"
"Ягодичный мост","hip_thrust","ягодицы","бицепс_бедра, кор","штанга","наклон","базовое"
"Подъем на носки стоя","standing_calf_raise","икры","","тренажер","подъем","изоляция"
"Подъем на носки сидя","seated_calf_raise","икры","","тренажер","подъем","изоляция"
"Скручивания","crunch","пресс","кор","собственный_вес","сгибание_корпуса","кор"
"Подъем ног в висе","hanging_leg_raise","пресс","кор","собственный_вес","сгибание_корпуса","кор"
"Планка","plank","кор","пресс, косые_мышцы, поясница, ягодицы","собственный_вес","стабилизация_корпуса","кор"
"Боковая планка","side_plank","косые_мышцы","кор, пресс","собственный_вес","стабилизация_корпуса","кор"
